source,target,lag,selected,connection_type,p_value,effect_size,abs_effect_size,p_gt_pc_alpha,selection_note,connection_string
cB,cA0,1,False,,0.9135847138493238,0.0034463116949407548,0.0034463116949407548,True,not_selected_p_value_gt_pc_alpha,"(1,-1) [none] (6,0)"
cB,cA0,2,False,,0.9294162372750331,0.0028130997723853374,0.0028130997723853374,True,not_selected_p_value_gt_pc_alpha,"(1,-2) [none] (6,0)"
cB,cA0,3,False,,0.9449032949420768,0.0021947458824298407,0.0021947458824298407,True,not_selected_p_value_gt_pc_alpha,"(1,-3) [none] (6,0)"
cB,theta0,0,False,,0.44852224371998306,0.02406532413352365,0.02406532413352365,True,not_selected_p_value_gt_pc_alpha,"(1,0) [none] (7,0)"
cB,theta0,1,False,,0.46250280475044037,0.023330464060841535,0.023330464060841535,True,not_selected_p_value_gt_pc_alpha,"(1,-1) [none] (7,0)"
cB,theta0,2,False,,0.45113234555677495,0.02392716039541906,0.02392716039541906,True,not_selected_p_value_gt_pc_alpha,"(1,-2) [none] (7,0)"
cB,theta0,3,False,,0.44212856003943013,0.024405709508986302,0.024405709508986302,True,not_selected_p_value_gt_pc_alpha,"(1,-3) [none] (7,0)"
theta,cA,0,False,,0.3816268813347615,-0.02779384002921479,0.02779384002921479,True,not_selected_p_value_gt_pc_alpha,"(2,0) [none] (0,0)"
theta,cA,1,False,,0.03064660240307795,-0.0686028771882006,0.0686028771882006,True,not_selected_p_value_gt_pc_alpha,"(2,-1) [none] (0,0)"
theta,cA,2,False,,0.021210056826261457,-0.07307976879078897,0.07307976879078897,True,not_selected_p_value_gt_pc_alpha,"(2,-2) [none] (0,0)"
theta,cA,3,False,,0.9153293375206004,0.003378173594023426,0.003378173594023426,True,not_selected_p_value_gt_pc_alpha,"(2,-3) [none] (0,0)"
theta,cB,0,False,,0.9654399098547137,-0.0013767123255302618,0.0013767123255302618,True,not_selected_p_value_gt_pc_alpha,"(2,0) [none] (1,0)"
theta,cB,1,False,,0.3317729176385512,0.030830952399251578,0.030830952399251578,True,not_selected_p_value_gt_pc_alpha,"(2,-1) [none] (1,0)"
theta,cB,2,False,,0.07660379116531976,-0.05621913022790638,0.05621913022790638,True,not_selected_p_value_gt_pc_alpha,"(2,-2) [none] (1,0)"
theta,cB,3,False,,0.2522975537111797,-0.03634416180278457,0.03634416180278457,True,not_selected_p_value_gt_pc_alpha,"(2,-3) [none] (1,0)"
theta,theta,0,False,,0.0,0.0,0.0,False,not_selected_other_or_constrained,"(2,0) [none] (2,0)"
theta,theta,1,True,-->,1.066374191952087e-168,0.734719111651281,0.734719111651281,False,selected,"(2,-1) --> (2,0)"
theta,theta,2,True,-->,1.3412565008983138e-25,-0.32380243616103876,0.32380243616103876,False,selected,"(2,-2) --> (2,0)"
theta,theta,3,False,,0.08298307086931603,0.05509839599771944,0.05509839599771944,True,not_selected_p_value_gt_pc_alpha,"(2,-3) [none] (2,0)"
theta,thetaK,0,True,x-x,7.864187033065099e-48,0.4389184206349861,0.4389184206349861,False,selected,"(2,0) x-x (3,0)"
theta,thetaK,1,False,,0.7591604887481193,0.009751017818091793,0.009751017818091793,True,not_selected_p_value_gt_pc_alpha,"(2,-1) [none] (3,0)"
theta,thetaK,2,True,-->,4.088499169931327e-06,0.1458888232418786,0.1458888232418786,False,selected,"(2,-2) --> (3,0)"
theta,thetaK,3,True,-->,7.338131808269239e-08,0.1699558366831783,0.1699558366831783,False,selected,"(2,-3) --> (3,0)"
theta,F,0,False,,0.2848958815203965,-0.033968922894061386,0.033968922894061386,True,not_selected_p_value_gt_pc_alpha,"(2,0) [none] (4,0)"
theta,F,1,False,,0.9515920309619292,-0.001929901587275175,0.001929901587275175,True,not_selected_p_value_gt_pc_alpha,"(2,-1) [none] (4,0)"
theta,F,2,False,,0.8937460441048083,0.00424390423209899,0.00424390423209899,True,not_selected_p_value_gt_pc_alpha,"(2,-2) [none] (4,0)"
theta,F,3,False,,0.42208259836621453,0.025491632268331073,0.025491632268331073,True,not_selected_p_value_gt_pc_alpha,"(2,-3) [none] (4,0)"
theta,QK,0,False,,0.35124483900978776,0.029627520513149312,0.029627520513149312,True,not_selected_p_value_gt_pc_alpha,"(2,0) [none] (5,0)"
theta,QK,1,False,,0.9695924769441089,0.0012118198572418988,0.0012118198572418988,True,not_selected_p_value_gt_pc_alpha,"(2,-1) [none] (5,0)"
theta,QK,2,False,,0.8160637350491342,0.007390885048486206,0.007390885048486206,True,not_selected_p_value_gt_pc_alpha,"(2,-2) [none] (5,0)"
theta,QK,3,False,,0.9515347373971077,-0.001930238811058146,0.001930238811058146,True,not_selected_p_value_gt_pc_alpha,"(2,-3) [none] (5,0)"
theta,cA0,0,False,,0.7653635036069439,0.009487388631791636,0.009487388631791636,True,not_selected_p_value_gt_pc_alpha,"(2,0) [none] (6,0)"
theta,cA0,1,False,,0.9895784028651597,0.0004152394649871645,0.0004152394649871645,True,not_selected_p_value_gt_pc_alpha,"(2,-1) [none] (6,0)"
theta,cA0,2,False,,0.8997164817766072,0.004004135581914888,0.004004135581914888,True,not_selected_p_value_gt_pc_alpha,"(2,-2) [none] (6,0)"
theta,cA0,3,False,,0.7873970902843681,-0.008564735869720326,0.008564735869720326,True,not_selected_p_value_gt_pc_alpha,"(2,-3) [none] (6,0)"
theta,theta0,0,True,<->,1.1592536898813746e-62,0.4959958095538165,0.4959958095538165,False,selected,"(2,0) <-> (7,0)"
theta,theta0,1,False,,0.8844001754781936,0.004622051962695288,0.004622051962695288,True,not_selected_p_value_gt_pc_alpha,"(2,-1) [none] (7,0)"
theta,theta0,2,False,,0.7576608408807171,0.00980377718936196,0.00980377718936196,True,not_selected_p_value_gt_pc_alpha,"(2,-2) [none] (7,0)"
