T1,T2,H
672.6467035269,712.706679332371,52325.2482682585
666.544657308339,706.058777689747,51962.5891247184
660.871486139864,699.764405012903,51066.4224431454
655.317548747451,693.583643614193,49757.9504527463
649.664769099079,687.343050524227,49524.9869043003
644.460785641321,681.47731649663,48586.0420102067
639.307728082292,675.675934563466,48583.299058811
634.668604803468,670.30855909473,47683.7746682494
630.043631657246,664.983927029925,46882.7529652332
625.480644974138,659.738233688774,46009.5130777041
620.937337015577,654.536671393198,44321.4495775593
616.004328102798,649.050000869732,42655.8072180342
610.731798901536,643.308573691715,40983.6564249815
605.150447223873,637.328893234829,42085.425323432
600.678115163202,632.23839637159,41183.8125818252
596.202209937794,627.169041676451,41437.8273597477
592.300902623888,622.581494494616,41096.3532409073
588.618988981953,618.201423703883,42270.694320912
585.892437244214,614.619594654456,42493.2547220585
583.549820880822,611.395426944195,40558.0699662084
580.473873775844,607.638997909864,39554.8629929441
577.203917894731,603.763018263802,39787.261677103
574.37715694381,600.270696564858,39412.3262272818
571.64560436307,596.890324813406,41020.6495570661
569.991368705296,594.406810275227,40289.0817339846
568.136772701758,591.816932198179,38065.7329698859
565.355961916526,588.53195547127,37875.3873990861
562.758059424416,585.417213770559,36332.3120656251
559.648409514787,581.918847564017,35776.2081787368
556.571672652677,578.460417268211,36257.9839172439
554.043497346031,575.454079539993,35961.8629452709
551.620079084063,572.554768752601,35662.1371055518
549.289139728433,569.753015938377,34870.5496982509
546.795500604715,566.844759622299,34142.9514370038
544.187426262745,563.863583225428,33470.8313766082
541.504099324775,560.837147034164,30114.0022411656
537.41069051288,556.694961903068,30005.3773798582
533.672310151521,552.819990712282,30495.5349095125
530.552846591125,549.431705372665,28689.6430836819
526.842383473854,545.575184703188,26689.5140035831
522.50290212826,541.207851451882,26865.700077854
518.685461954361,537.238542624133,24910.415824766
514.272123671308,532.784818257229,22815.8400893286
509.252831348841,527.827292923669,23224.5522885702
504.939824358242,523.405066869821,22183.1940565593
500.537438950698,518.897964477209,23058.3771659336
497.012883638595,515.078968007791,21381.8064619697
493.00249850572,510.875767991995,20411.0905473143
488.907793928805,506.599521611521,20312.6009162142
485.173314994032,502.604597857143,20523.4067156024
481.91768685243,498.993615704098,20648.9842545718
479.050410294473,495.703688228119,20496.2915200046
476.393515025028,492.599428219012,19924.8817055712
473.716604375311,489.499423784815,19013.5835038886
470.851735689724,486.267400402509,19177.1716226573
468.35514793208,483.343214021384,18470.7194537463
465.754992865745,480.355760751279,18584.4896708865
463.471738414614,477.637874563287,19362.4540316405
461.805791588973,475.435015583697,16790.4145660025
459.020419713077,472.368555241321,18315.0544628051
457.275904973172,470.141935383344,17377.7431756597
455.237186063684,467.707387499857,18404.5723299287
453.91575362228,465.866162369339,19649.4215162539
453.348889018179,464.66096879814,17853.0230541429
451.940511643433,462.827605359937,17732.4110259941
450.612665992087,461.083499368339,20903.1307566193
451.002964771188,460.738489218361,20340.1185195639
451.072727553851,460.19414993481,20487.3991076576
451.209154352294,459.749548332762,20476.8275757863
451.326652704958,459.334063238119,21403.4491971197
451.895712033022,459.320388174108,22137.2392493789
452.774760454409,459.601254760802,20821.8346515535
452.908201734745,459.334894514363,20036.3049304169
452.635534026479,458.774299397953,20045.5871871755
452.394774217419,458.259461817976,19653.0906854427
451.981842138398,457.626238455805,21860.5138617537
452.713914855435,457.923476116321,21934.817401818
453.409932070801,458.228142368324,22006.7548297862
454.072316278614,458.538733622615,20802.2995874361
454.066234444471,458.344248435893,19148.0919782874
453.233656989167,457.502666594516,19623.0998274043
452.721841203953,456.914206530889,19098.7843741686
451.999049270642,456.16015479074,19429.6241175202
451.513956402338,455.594992828442,18274.3227767352
450.499722150471,454.610097477003,18865.7047904575
449.882602330653,453.935622082411,16737.7899568549
448.263237076015,452.460566408972,18025.5102448553
447.449668490841,451.611228026241,18571.5857386664
446.99049451109,451.04402021974,18372.2141459442
446.477552132954,450.439604361637,16904.9090484289
445.282251443873,449.293597653886,16225.6248617265
443.866838730349,447.961827774535,16209.4920917382
442.584900903183,446.72348752814,17147.1233262835
441.899972476006,445.953075294043,15827.7963248122
440.623873390812,444.712713176915,16859.1464736845
439.991059288573,443.97791827812,19346.2837324653
440.665095225948,444.293087900247,18528.4985208652
440.862834963786,444.257505716074,18688.455736606
441.12077933571,444.288575082011,17719.6845871732
440.868543695726,443.92980578573,15707.399268446
439.635388960376,442.793030059178,16916.128384745
439.129914256711,442.225004158638,17328.3301772662
438.881087919673,441.864460917647,16528.8276876372
438.257392971524,441.211157423878,16366.7346094974
437.615020979121,440.542014460886,15864.1485516751
436.785593157046,439.72202279699,14138.0132357945
435.176040459239,438.273076381533,11020.043541925
432.168458184277,435.685613069688,10788.9085420302
429.346066636865,433.199755506274,10146.6274493011
426.484773697829,430.643424823024,9400.87109706165
423.536731876577,427.980516400122,8398.22155260783
420.382169465223,425.116266291156,6441.01567929736
416.564460358349,421.683952591038,5811.93480354029
412.813981724285,418.257430068126,5876.50510152862
409.47083610262,415.113724853628,4716.75247496857
405.882128729843,411.741896479593,5088.63367294021
402.838232693329,408.7717077128,4731.02503850073
399.919921943246,405.88123964974,4550.72027045753
397.20328988415,403.135434784193,3045.7689846879
394.005845388079,399.993584769254,2230.59672958506
390.720559214064,396.761304603394,2603.5576607373
387.950282123026,393.920629822434,1770.23228399785
385.040370052722,390.959675499351,1902.36554196722
382.487515818434,388.273646053686,3848.56344696459
381.163045960073,386.567547978445,4579.68715015827
380.336584939145,385.281856740125,5540.72576415833
380.073289327309,384.477007790279,7808.71029969913
380.970315544428,384.639716325888,8853.96022773001
382.30026410385,385.208321692538,9104.13465007107
383.622305018501,385.834351425626,10903.6477893444
385.711898411323,387.133234184442,9817.26396198346
387.049340551182,387.900147205402,8971.49070438385
387.830151848256,388.271232446751,10840.2574360207
389.467265381441,389.361992987653,11113.9296571149
391.077503671854,390.480415376425,10886.5933163439
392.41304996284,391.42402154973,11163.3173986465
393.75340366588,392.407546892959,10713.1179726375
394.73462228561,393.137228065042,10242.5808590752
395.382450486587,393.623968303794,9685.07303449929
395.686741955178,393.851199894809,8969.66221759832
395.602898868459,393.775224789738,7876.43991887543
394.980828941051,393.267658898058,7685.31773757862
394.325404915735,392.721711575735,6982.54433851284
393.384136593418,391.93560094296,8308.02389896931
393.199734883561,391.738640431826,8405.0835637582
393.082303177084,391.595275824942,9286.37538810628
393.417260553429,391.815180293314,8991.77193202873
393.5714204641,391.900750544127,8760.35796343567
393.594457399408,391.887337438692,9872.59874933677
394.171311034136,392.319826630524,11176.5894388438
395.342474650144,393.241475408773,11023.2538042357
396.319854087247,394.032666274809,12532.0110527939
397.95387420492,395.368020725316,12798.8727603023
399.557923164579,396.709968275038,12954.088432715
401.079175064478,398.013356027496,14930.1876830694
403.436351399565,400.009429398662,16217.0363265457
406.201234422882,402.37053672438,16854.0126030928
409.00811728214,404.809351511289,16975.3719753965
411.594991541624,407.113798938101,16154.0671081728
413.512525941548,408.916890861013,15769.617168064
415.046081931425,410.430970913662,17328.7902705659
417.205868873566,412.455164203364,15018.4704413296
417.994517206874,413.403415064643,14131.1851399175
418.260658056145,413.925632990762,13706.8621634255
418.288023332243,414.238955381825,13626.6895026464
418.272565750342,414.496709529247,11615.6979669715
417.253158158794,413.930735501342,11951.1705488073
416.503427617318,413.541398558264,12481.7162344677
416.09394297282,413.393480160181,11333.5527071608
415.151325029119,412.797390231032,10885.3732124455
414.078879132429,412.066735248683,9490.40549199939
412.416193965186,410.832892301832,10956.7817339655
411.65296543565,410.27813807278,11147.681113356
411.061509448763,409.841350162664,10710.9946334408
410.310855820607,409.262646753841,9607.0221547078
409.083281315901,408.285757109186,9545.56544831891
407.94773590847,407.357551505325,11070.7525308989
407.688338583072,407.109036154785,11161.4993884634
407.500254418997,406.915458198561,11328.7637780527
407.414610866124,406.80330434489,9939.57548527522
406.642937522149,406.143886713134,9940.04456974584
405.948666054807,405.534113037547,10550.5389241701
405.629068911411,405.214270129399,8993.26120571752
404.562792623129,404.295504351981,9971.65253924016
404.092339630436,403.837002541279,12270.8979152859
404.818554625035,404.332586516797,10508.4657316154
404.59093202834,404.086028820683,8266.67681587003
403.265177233441,402.96124738548,8056.30020346035
401.966809611827,401.836673912953,8681.13997360884
