t,T1,T2,T3,T4,C,P,H,u1,u2,u3,u4
39.5,25.7679189596682,22.4372574181629,22.1626990845689,22.181634230648,22.7833250156772,0.29538502971543,0.488531986107858,0,0,0,0
40,25.2277536034504,22.4535026364038,22.1763089792745,22.1973145148866,22.7750625385912,0.192059315749589,0.446622597185942,0,0,0,0
40.5,24.7725838759773,22.4621170213756,22.1871358656516,22.2092088982799,22.747126644363,0.130310881331505,0.399829154683692,0,0,0,0
41,24.3873619970582,22.4636147125867,22.1948490883154,22.217040301974,22.7075166011298,0.092603708468915,0.360703186575958,0,0,0,0
41.5,24.0613578005629,22.4598953162158,22.1995001367598,22.221007750681,22.6626849985155,0.069443438814003,0.339763979289199,0,0,0,0
42,23.7869272324637,22.4536271506505,22.2014041144862,22.221622199946,22.6178388820811,0.0557174066369933,0.342617106338776,0,0,0,0
42.5,23.5581938190691,22.4475049948435,22.2010395619983,22.2195731828654,22.5768610701162,0.0485168674838127,0.36850399691791,0,0,0,0
43,23.3700013288826,22.4436113075153,22.1989640969946,22.2156198556019,22.5421080333175,0.0459965810180046,0.410521185858938,0,0,0,0
43.5,23.2171027115155,22.4429410763609,22.1957306563646,22.210486054342,22.5143118745897,0.0466672832047589,0.457405959847374,0,0,0,0
44,23.0937129516443,22.4451914762578,22.1918105525315,22.2047671590246,22.4926871805899,0.0490768972706252,0.49657172780647,0,0,0,0
44.5,22.9936070271588,22.4489236884044,22.1875362723844,22.1988640883338,22.4753117419492,0.0518615416421351,0.51779047027165,0,0,0,0
45,22.9106156937027,22.4521366604803,22.1831001317734,22.1929906847634,22.4598193031479,0.053878320353918,0.515457266956346,0,0,0,0
45.5,22.8391702129692,22.4527875877867,22.1785649884073,22.1871933730319,22.4439672451591,0.0543462044775457,0.489991142764463,0,0,0,0
46,22.7749423600796,22.4493374147082,22.173890120381,22.1813891381868,22.4261829882579,0.0529910042119885,0.44810823613457,0,0,0,0
46.5,22.7151538973703,22.4629534851688,22.1689841267111,22.1754364952626,22.4059684878894,0.0567858737272202,0.40093919618673,0,0.16467595436642,0,0
47,22.6594010220614,22.5537984000893,22.1638287627916,22.1692978093959,22.3867626646012,0.0787092430313936,0.36177758856843,0,0.16467595436642,0,0
47.5,22.6085752779029,22.6035036117811,22.1585618123278,22.1631353102984,22.3701671678187,0.0826743627988545,0.340673285289743,0,0,0,0
48,22.5644568736712,22.561462221874,22.1532920845314,22.1570723944874,22.3547461469061,0.0633375149433534,0.343362423499384,0,0,0,0
48.5,22.5286683385633,22.5264015557452,22.1480888833661,22.1511808397751,22.3416666765964,0.0529460958582096,0.368963506567595,0,0,0,0
49,22.5022417699243,22.4992795401642,22.1430962539645,22.1456279787843,22.3327634499614,0.0486034070790206,0.410708070565936,0,0,0,0
49.5,22.4851121447921,22.4801428671526,22.1384966454484,22.1406273779475,22.3286121664372,0.0481809035602557,0.457484665538246,0,0,0,0
50,22.475722203006,22.4678179764915,22.1344370408723,22.1363434088172,22.3283356387752,0.0499596306102702,0.496805021183992,0,0,0,0
50.5,22.4714780129754,22.4602521591117,22.1309830092176,22.1328349175859,22.3301603533427,0.052399427061138,0.518273028648128,0,0,0,0
51,22.469216489218,22.4548857624421,22.1281055358931,22.1300411926118,22.3318691240598,0.0542089184948784,0.515822165828834,0,0,0,0
51.5,22.4657596308392,22.449070943975,22.1256670422687,22.1277677070464,22.3312717760335,0.0545339823357801,0.490030369224737,0,0,0,0
52,22.4587547223228,22.4407952006802,22.1234577990639,22.1257362703469,22.3269227742905,0.0530783482174105,0.447946526357871,0,0,0,0
52.5,22.4473977257383,22.4292663886061,22.1212615970874,22.123670636477,22.3186232058536,0.0501287931440438,0.400948350503455,0,0,0,0
53,22.4323601600764,22.4148998114881,22.118911054322,22.1213648329997,22.307302175481,0.0463884451249098,0.361422736226697,0,0,0,0
53.5,22.4156350780258,22.399218305578,22.1163275569995,22.1187317566009,22.2948327624128,0.0428130687673528,0.339933494051827,0,0,0,0
54,22.3999458038422,22.3843867196555,22.1135414197169,22.1158244001534,22.2835108348994,0.0403342989583357,0.34227336217763,0,0,0,0
54.5,22.3879997693464,22.372620235974,22.1106845267374,22.1128221369125,22.2754548440629,0.0396070736938816,0.367848771910665,0,0,0,0
55,22.3816862864088,22.3655211379089,22.1079541664014,22.1099808380719,22.2719889516292,0.040810929521333,0.409688045237365,0,0,0,0
55.5,22.3815585628192,22.3636312787204,22.1055544729076,22.1075569345486,22.273298595885,0.0436163274471101,0.456609864690808,0,0,0,0
56,22.3866915613578,22.3662886525047,22.103643033825,22.1057402368611,22.2783928370647,0.0472743788986908,0.496097875085961,0,0,0,0
56.5,22.3948559195974,22.3717380300251,22.102283711611,22.1045964298407,22.2853197448751,0.0508041313208702,0.517656214751271,0,0,0,0
57,22.4031673018836,22.3776432054726,22.1014326749897,22.1040537353735,22.2917348357867,0.0532670630887789,0.515492680048438,0,0,0,0
